nome,cpf,idade,data,endereco,estado
Sr. Anthony Almeida,305.184.962-60,37,1987-02-03,"Rua Vitor Hugo Pinto, 21, Anchieta, 08712074 Ramos / RJ",Bahia
Clara Martins,397.201.856-86,77,1947-03-14,"Rodovia Aragão, 245, Conjunto Lagoa, 61224-422 Pinto / MG",Bahia
Dr. Luiz Felipe Cardoso,374.691.850-20,69,1954-07-20,"Alameda de Lima, 65, Boa Esperança, 49621639 Fernandes de Moraes / PE",Amapá
Sr. Calebe Lopes,135.796.802-77,62,1961-10-19,"Trecho Lucas Sales, 24, Dom Bosco, 09228582 da Cunha Alegre / RO",Ceará
Miguel Monteiro,097.521.834-41,54,1969-06-27,"Passarela Igor Novaes, 89, Pompéia, 32670-098 Martins / SE",Acre
Srta. Catarina Da Mata,468.751.390-57,81,1942-07-05,"Sítio Luna Carvalho, 98, Novo Santa Cecilia, 32066-338 Nunes / AM",Acre
João Gabriel Araújo,625.904.731-25,73,1950-09-13,"Esplanada de Castro, 4, Vila Nova Cachoeirinha 1ª Seção, 69704-913 Pires / MT",Roraima
Sr. Nicolas Azevedo,036.458.921-33,35,1989-01-18,"Estrada de Aragão, 1, Vila Barragem Santa Lúcia, 49120-746 Campos / AC",Rio de Janeiro
Kamilly Caldeira,508.379.462-47,44,1979-07-04,"Via Gabriela Nascimento, Madre Gertrudes, 45044395 Nascimento do Galho / AP",Mato Grosso do Sul
Renan Araújo,186.970.354-57,79,1945-03-06,"Travessa Vinicius da Mata, 52, Alta Tensão 1ª Seção, 66380-981 Dias do Campo / CE",São Paulo
Vicente Nascimento,054.921.378-32,63,1961-02-22,"Largo Vieira, Milionario, 78970057 Dias / DF",Ceará
Isaac Rocha,873.402.691-69,57,1966-11-30,"Área Lucas Gabriel Silveira, 51, Anchieta, 55284-530 Rocha / PE",Rio de Janeiro
Julia Das Neves,819.402.563-05,60,1963-08-28,"Jardim Isabelly Gomes, 23, Nossa Senhora De Fátima, 81186-838 da Luz da Serra / ES",Paraná
Breno Rodrigues,196.540.732-34,95,1928-10-24,"Distrito de Silveira, Dona Clara, 14225405 Araújo / AM",Maranhão
Isabel Nogueira,968.502.347-65,63,1960-10-21,"Travessa Ana Júlia da Rocha, Miramar, 01287083 Fogaça do Oeste / TO",Piauí
Anthony Araújo,208.157.463-26,38,1985-09-07,"Avenida Milena Pires, 360, Vila Rica, 71412995 Pereira / AP",Tocantins
Sra. Marina Da Cunha,067.152.389-95,55,1968-09-09,"Rodovia Marcelo Souza, 25, Estrela, 24438186 Vieira / RN",Amazonas
Helena Cardoso,853.471.906-39,51,1972-05-29,"Pátio Alexandre Teixeira, 243, Indaiá, 21474228 Cavalcanti Paulista / RR",Paraná
Luigi Nunes,593.204.186-24,50,1973-06-17,"Via Clara da Rosa, 928, Castelo, 87117-636 Caldeira de Campos / RR",Roraima
Srta. Raquel Da Costa,278.534.619-09,58,1965-05-07,"Estação Ribeiro, 46, Venda Nova, 45512787 Silva / PB",Amazonas
Sra. Ana Vitória Oliveira,120.347.586-17,60,1963-11-01,"Sítio de Cavalcanti, 97, Juliana, 21342254 Monteiro de Campos / PA",Santa Catarina
Luiza Campos,974.281.306-03,52,1972-01-13,"Condomínio de Rodrigues, 52, Conjunto Providencia, 93625-248 da Luz / SC",Tocantins
Lucca Da Paz,526.980.731-95,71,1952-04-14,"Rodovia Vieira, 63, Conjunto Taquaril, 85325522 Pires / RN",Tocantins
Nathan Da Rosa,907.231.564-25,31,1992-11-05,"Recanto de da Conceição, 1, Paraíso, 52583-232 Sales / AM",Ceará
Lívia Silveira,804.125.796-85,61,1962-11-22,"Setor de Azevedo, 375, Castanheira, 56381800 Teixeira das Pedras / AL",Mato Grosso do Sul
Isabel Cavalcanti,492.768.130-04,54,1969-05-10,"Ladeira Pietra Cunha, 13, Vista Alegre, 86652477 Monteiro / PA",Pará
Rafael Nunes,285.917.604-76,38,1985-08-28,"Vereda Davi Lucca Barbosa, 35, Estrela Do Oriente, 38759-767 Rodrigues de Goiás / GO",Goiás
Elisa Fogaça,572.840.693-92,95,1928-12-13,"Rodovia Ana Júlia Araújo, 68, Vila Real 2ª Seção, 22775-108 da Mata dos Dourados / PE",Maranhão
Agatha Ramos,948.061.752-85,23,2000-12-03,"Distrito de Barros, 41, Suzana, 54500-129 da Rocha / RJ",Roraima
Kamilly Rocha,946.031.875-48,59,1964-09-19,"Feira Campos, 17, Cruzeiro, 01967-483 Ribeiro de Pires / DF",Ceará
Antônio Das Neves,435.698.712-82,40,1983-07-31,"Avenida Vitor Hugo Cardoso, 34, Vila São Rafael, 96831280 da Cunha / SC",Rio Grande do Sul
Luiz Gustavo Alves,198.506.473-10,45,1978-07-08,"Rodovia de Souza, 63, Vila Nova Dos Milionarios, 81275-813 Rocha / MS",Rio Grande do Sul
Emanuella Fernandes,097.184.263-96,87,1936-07-21,"Residencial Ian da Paz, 6, Padre Eustáquio, 41928916 Fernandes de Correia / PR",Rondônia
Srta. Ana Beatriz Farias,431.975.068-39,62,1961-08-07,"Ladeira de da Paz, 98, Jardim Dos Comerciarios, 48285699 Ribeiro / PE",Acre
Yago Monteiro,865.279.143-00,44,1979-06-22,"Ladeira Pereira, 21, Buraco Quente, 50425764 Fogaça Verde / BA",Maranhão
Yasmin Gonçalves,017.459.382-14,76,1947-09-26,"Área Barros, 46, Salgado Filho, 98637-706 Alves de Goiás / BA",Paraná
Bruna Nascimento,132.695.407-52,34,1989-04-13,"Vereda Luiz Felipe Costa, 70, Minaslandia, 23088133 Moraes / DF",Roraima
Davi Luiz Nogueira,873.045.912-50,97,1926-12-20,"Vila Sales, 97, Paquetá, 59231544 da Luz Grande / ES",Pernambuco
Ian Monteiro,324.157.968-91,24,1999-12-11,"Favela Alana Ribeiro, 318, Casa Branca, 79179-607 Barros da Praia / MS",Ceará
Srta. Helena Silva,905.164.728-01,35,1988-11-14,"Parque Freitas, 82, Ouro Minas, 59029142 Lima da Prata / AC",Tocantins
Bárbara Novaes,038.496.512-15,88,1935-05-24,"Trecho Bryan da Cunha, 1, Betânia, 61163162 Correia Verde / PA",Amazonas
Sr. Pedro Lucas Costela,534.870.296-00,30,1993-08-24,"Esplanada Moreira, Pindura Saia, 93675777 da Cunha da Mata / ES",Minas Gerais
Rafael Jesus,673.105.482-80,22,2001-08-16,"Campo de Barros, 16, Silveira, 43534-126 Duarte do Galho / DF",Ceará
Sra. Alícia Caldeira,051.382.694-70,89,1934-12-04,"Distrito Esther Campos, 264, Apolonia, 13908-226 Souza / PA",Tocantins
Danilo Martins,760.389.541-39,99,1925-03-30,"Largo Pires, 78, Bacurau, 13125523 Sales Verde / AP",Piauí
Sr. Gabriel Da Rosa,530.641.782-53,49,1974-09-10,"Campo Isabelly Freitas, Novo Santa Cecilia, 94562211 da Mata / CE",Acre
Augusto Teixeira,412.563.970-16,69,1954-11-15,"Favela Maria Novaes, Savassi, 60241424 da Costa das Flores / RR",Rio Grande do Sul
Ana Julia Da Rosa,630.549.782-65,42,1981-10-10,"Trevo Moraes, 5, Cônego Pinheiro 1ª Seção, 38769-503 Ramos de Rocha / SP",Rio Grande do Sul
Lucca Barbosa,836.109.275-77,97,1926-06-12,"Rua Mendes, 337, Penha, 06179-472 Sales do Sul / SP",Minas Gerais
Amanda Da Costa,268.935.074-29,23,2000-11-20,"Lagoa Cardoso, 1, Ambrosina, 61793-758 da Rocha / SP",Mato Grosso
Dr. Francisco Cardoso,430.297.815-50,96,1927-10-30,"Lago Maitê Campos, 31, Braúnas, 72279-259 Costa do Sul / TO",Paraná
Lorena Farias,268.517.934-82,92,1931-04-17,"Residencial Barbosa, 44, Zilah Sposito, 26601655 Aragão de Goiás / AP",Rio Grande do Sul
Anthony Da Costa,935.287.104-97,36,1988-02-13,"Recanto de Rocha, 68, Conjunto Califórnia I, 12467-132 Jesus do Norte / SE",Santa Catarina
Cauã Rodrigues,107.286.439-87,98,1926-02-11,"Vale Gustavo Henrique Alves, 50, Vila Madre Gertrudes 4ª Seção, 75200-837 Correia Grande / AL",Mato Grosso do Sul
Anthony Barbosa,631.750.489-00,86,1937-08-19,"Vila Farias, Vila Satélite, 80983484 Gonçalves de Fogaça / RN",Alagoas
Ana Julia Almeida,179.386.425-09,22,2001-07-20,"Fazenda de Porto, 3, Senhor Dos Passos, 60244655 Mendes / MA",Mato Grosso
Milena Barros,314.602.985-51,73,1950-08-04,"Setor Miguel Pires, 3, Ermelinda, 63141374 Pires / PA",Rio Grande do Norte
Murilo Gomes,759.083.641-93,99,1924-05-22,"Morro de Castro, Vila Pilar, 68132710 Vieira do Sul / SP",Ceará
Daniel Barbosa,812.035.469-98,28,1995-10-05,"Praça Ferreira, 764, Vila Sumaré, 04459429 Teixeira da Serra / CE",Distrito Federal
Dr. Samuel Cardoso,039.124.687-96,47,1977-03-20,"Vereda Cauê Novaes, 14, Conjunto Califórnia Ii, 17511624 Caldeira / BA",Distrito Federal
Ana Laura Sales,863.247.190-22,78,1945-11-24,"Fazenda de Pinto, 42, São Jorge 1ª Seção, 94419954 Correia de Mendes / PR",Rondônia
Mariana Cunha,492.537.016-25,81,1942-07-24,"Loteamento Luiz Felipe Teixeira, 87, Novo Ouro Preto, 09824175 Araújo / AM",Roraima
Sr. João Guilherme Cavalcanti,347.156.029-70,38,1985-09-30,"Quadra Emanuella da Conceição, 29, Cruzeiro, 48756-294 Fogaça de Correia / MS",Rio Grande do Norte
Kamilly Rocha,365.248.907-10,63,1960-10-29,"Rodovia Danilo Costa, 17, Alta Tensão 2ª Seção, 93173-991 Almeida do Oeste / MS",Piauí
Gabriel Nunes,940.813.762-04,55,1968-11-21,"Vila Stephany Lima, Vista Do Sol, 43271006 Costa / PA",Amazonas
Rafael Correia,579.042.183-05,72,1952-01-03,"Morro de Cardoso, 47, Marçola, 82157940 Melo / SE",Piauí
Ana Lívia Barbosa,925.164.380-60,62,1961-05-30,"Lagoa Sarah Azevedo, Monsenhor Messias, 68691-716 Nunes / CE",Pará
Maitê Teixeira,694.815.037-39,90,1933-05-11,"Loteamento Oliveira, 29, Camponesa 1ª Seção, 35499227 da Rosa do Oeste / PE",Rio Grande do Sul
Carlos Eduardo Santos,937.815.426-37,69,1955-03-29,"Largo Nascimento, 97, Delta, 00090-218 Barbosa / PR",Rondônia
Enzo Gabriel Araújo,349.682.017-96,70,1953-09-15,Sem endereco,Rio Grande do Sul
Breno Moreira,184.762.950-49,40,1984-03-23,"Aeroporto de das Neves, 7, Vila Sumaré, 05152-623 Correia das Flores / AL",Paraná
Julia Lopes,106.893.247-31,47,1977-02-13,"Conjunto de Cardoso, 5, Vila Minaslandia, 42663-889 Castro / PR",Roraima
André Lima,645.098.123-70,79,1944-11-06,"Viaduto Cardoso, Belmonte, 18780-365 Monteiro do Campo / RO",Alagoas
João Gabriel Barbosa,190.657.428-67,55,1969-02-23,"Fazenda de Barros, Boa Esperança, 74227859 da Costa / DF",Amapá
Sem nome,438.765.902-56,21,2002-04-13,"Colônia Maria Vitória Moura, Aarão Reis, 87984-967 Rocha de Minas / GO",Ceará
João Felipe Oliveira,830.679.415-00,42,1981-10-18,"Avenida de Cardoso, Madre Gertrudes, 39614351 Porto do Amparo / RN",Distrito Federal
Samuel Vieira,218.305.764-53,39,1984-07-02,"Lagoa Leandro Caldeira, 1, Chácara Leonina, 51972-241 Mendes / MT",Roraima
Lucca Ferreira,237.984.561-19,86,1938-03-30,"Esplanada de das Neves, 5, Andiroba, 55857-900 Moraes do Amparo / MG",Pernambuco
Samuel Castro,582.630.419-70,70,1954-02-04,"Praia Eloah da Mata, 95, Cachoeirinha, 76620-467 Melo / AL",Amazonas
Maria Vitória Teixeira,426.753.091-25,61,1962-12-16,"Praia Carvalho, 7, Vila Nova, 08272068 Costela / PA",Mato Grosso do Sul
Maria Fernanda Farias,907.143.856-20,22,2001-07-18,"Área de Correia, 44, Chácara Leonina, 16210070 Nunes do Sul / AM",Rio Grande do Norte
Fernanda Sales,879.354.102-32,71,1953-02-05,"Vale Lorenzo Almeida, 80, Vila Mantiqueira, 39381-620 Alves Grande / PE",Rio Grande do Sul
Srta. Eduarda Nogueira,602.751.493-07,66,1958-01-13,"Chácara Isadora das Neves, Vila Da Amizade, 25121623 Ribeiro / PB",Rondônia
Maitê Ferreira,016.542.973-99,65,1958-04-24,"Estação Cunha, Calafate, 29389355 Rocha de Gonçalves / PR",Santa Catarina
Catarina Pires,079.186.425-11,47,1977-01-28,"Loteamento de Lima, 1, Vila Primeiro De Maio, 16602-243 Vieira da Mata / MT",Mato Grosso do Sul
Manuela Da Rocha,839.561.470-57,74,1949-05-21,"Alameda de Gonçalves, 79, Saudade, 47129-674 Dias / SP",Paraíba
Nina Moura,604.173.592-25,46,1977-07-23,"Quadra Bernardo Ferreira, 85, Marieta 1ª Seção, 48882-146 Lima de Barbosa / PA",Acre
Pedro Henrique Vieira,526.839.107-03,42,1981-08-14,"Rodovia Alícia Dias, 58, Vila Boa Vista, 14088-768 Campos de Porto / RR",Paraná
Ana Clara Cunha,862.953.107-02,36,1987-04-09,"Rua de Cavalcanti, 8, Vila Da Paz, 01240048 Souza da Serra / AC",Espírito Santo
Pietra Santos,508.672.194-67,94,1929-06-14,"Esplanada de Silva, 1, Vila Puc, 06033-930 Alves de Lopes / GO",Santa Catarina
Sr. Theo Da Conceição,284.517.309-14,25,1998-10-04,"Viaduto de Freitas, 12, Centro, 41526-260 da Cruz dos Dourados / RR",São Paulo
Vinicius Da Costa,023.916.457-16,65,1958-06-03,"Recanto Valentina Pinto, 52, Satelite, 97787-119 Mendes de Barbosa / PA",São Paulo
Pedro Henrique Cunha,519.304.678-93,58,1965-06-03,"Passarela de Santos, 501, Vila Atila De Paiva, 81047029 Oliveira / ES",Pará
Davi Nogueira,564.829.170-11,74,1949-12-14,"Morro Lucca da Rocha, 40, Bandeirantes, 05301527 Nascimento / CE",Tocantins
Luiz Fernando Da Paz,409.816.257-11,80,1943-04-30,"Praça de da Paz, 5, Conjunto Jardim Filadélfia, 17691-504 Cavalcanti / TO",Mato Grosso
Srta. Letícia Rocha,137.580.942-32,76,1947-12-01,"Fazenda João Felipe Souza, 78, Nova Pampulha, 08184872 Cunha / SC",Sergipe
João Nogueira,367.189.054-10,91,1933-02-22,"Rodovia Cauê Monteiro, 50, Heliopolis, 61521177 Martins Paulista / CE",Rio Grande do Norte
João Gabriel Cardoso,962.405.713-34,53,1970-07-13,"Área de Ferreira, 20, Vila Independencia 2ª Seção, 75695006 Melo / AC",Minas Gerais
Ryan Ribeiro,409.157.683-48,95,1928-12-18,"Núcleo Almeida, 41, Vila São Paulo, 63386-457 Novaes / PB",Alagoas
Olivia Das Neves,314.927.586-55,23,2001-01-27,"Lagoa de Vieira, 25, Paquetá, 66090560 Pereira do Campo / AL",Roraima
Sr. Luiz Miguel Pinto,942.816.507-76,55,1968-04-17,"Conjunto da Luz, 6, Chácara Leonina, 95186702 Silva / SC",São Paulo
Elisa Teixeira,217.439.856-73,79,1944-05-07,"Ladeira de Rodrigues, 58, Vila São Francisco, 18153-240 da Mata / ES",Rondônia
Pedro Miguel Das Neves,523.976.081-03,59,1964-12-15,"Jardim de Nascimento, 7, Engenho Nogueira, 72911-524 Moreira do Galho / RS",Rio de Janeiro
Maria Luiza Azevedo,064.253.879-47,76,1947-04-29,"Quadra de da Cruz, 42, Vila Jardim Montanhes, 11782275 Mendes / PE",Sergipe
Lorenzo Silva,642.397.018-13,47,1976-05-09,"Conjunto de da Cruz, 1, Mariano De Abreu, 82687-160 Azevedo de Silva / RJ",Amazonas
Bianca Souza,673.295.108-40,97,1926-05-25,"Colônia Francisco Campos, 7, Vila Betânia, 47223-561 da Costa do Galho / SC",Bahia
Vitor Azevedo,643.978.150-20,70,1953-11-01,"Largo de Barbosa, Vila Nova Gameleira 1ª Seção, 37778-485 Lima / AL",Roraima
Enzo Gabriel Lima,187.604.952-94,57,1967-01-28,"Aeroporto Rezende, Santo Antônio, 22751419 Melo de Porto / SP",Santa Catarina
Eduarda Cunha,093.821.745-32,59,1964-09-17,"Campo de Pinto, 72, Santana Do Cafezal, 22684962 Porto / PI",São Paulo
Sra. Nicole Da Rocha,367.082.149-03,79,1944-10-10,"Setor de Ferreira, 742, Vila Antena, 59176-949 Santos / RR",Amazonas
Ana Clara Santos,430.629.781-04,35,1988-04-15,"Ladeira de Sales, 15, Vila São Francisco, 18447153 das Neves / DF",Paraíba
Enzo Gabriel Castro,694.253.078-65,96,1927-07-11,"Ladeira de Teixeira, São Geraldo, 49881-890 Rodrigues / PB",Piauí
Nicole Ferreira,701.839.246-22,28,1996-02-11,"Aeroporto Duarte, 9, Funcionários, 49849669 Silva do Sul / ES",Amazonas
Erick Sales,498.357.160-48,37,1986-09-13,"Trecho de Martins, 51, Vila Santa Monica 1ª Seção, 87398-775 Nogueira Alegre / PR",Ceará
Anthony Barros,742.053.618-07,42,1981-10-24,"Vila Alexia Viana, 87, Jardim Alvorada, 22732-445 Moreira / PA",Roraima
Renan Da Rocha,986.204.357-10,53,1971-03-08,"Morro Melo, 463, Grajaú, 18981-145 da Conceição / RO",Tocantins
Marcela Santos,843.196.205-42,24,1999-12-23,"Residencial de Aragão, 65, Planalto, 81955-681 Barbosa do Sul / RN",Goiás
Carolina Melo,970.358.142-05,39,1984-06-06,"Vereda Kamilly da Rosa, 80, São Geraldo, 58360617 Castro / SC",Amapá
Lavínia Rezende,946.321.085-70,44,1979-08-19,"Morro Davi Luiz Correia, 38, Vila São Paulo, 55361364 Ferreira do Galho / CE",Rondônia
Srta. Julia Porto,502.731.649-61,75,1948-07-21,"Distrito Ana Laura Aragão, 90, Jardim Do Vale, 37050371 Barbosa / MA",Amazonas
Alana Cardoso,572.934.018-41,32,1991-04-14,"Favela Gonçalves, 32, Cônego Pinheiro 1ª Seção, 62579-612 da Costa Alegre / PR",Rio Grande do Norte
Davi Lucas Cardoso,805.769.423-83,28,1995-11-15,"Viela da Paz, 92, Serra, 95443238 Correia / MT",São Paulo
Raul Santos,315.809.267-03,19,2004-09-11,"Loteamento Emanuelly Sales, 135, Leticia, 56249-362 Fernandes de Peixoto / SP",Alagoas
Igor Melo,261.730.548-17,46,1978-02-03,"Favela Oliveira, 67, Vila Copacabana, 91636157 Rezende / PR",Tocantins
Joaquim Da Costa,274.039.856-56,76,1947-08-10,"Condomínio Campos, 38, Dom Bosco, 49718775 Melo de Minas / SP",Amapá
João Felipe Farias,936.457.180-01,28,1996-01-11,"Estação Milena Silva, 549, Bairro Das Indústrias Ii, 77860945 Silva / PE",Mato Grosso
Manuela Almeida,647.251.980-30,75,1949-01-27,"Feira Alice Ramos, 3, São João Batista, 84904729 Campos Paulista / PE",Acre
Ryan Rocha,248.513.096-51,64,1959-10-25,"Passarela Nogueira, 8, Castelo, 08422194 Pires de Barros / PI",Sem endereco
Luna Da Conceição,935.416.278-91,96,1928-02-19,"Campo Campos, 82, São Pedro, 10003961 da Mata / MA",Mato Grosso do Sul
Manuela Silva,591.372.846-73,18,2005-09-01,"Jardim Beatriz Farias, 11, Acaba Mundo, 79947-311 Farias / AL",Bahia
Maria Vitória Das Neves,761.450.932-34,96,1928-01-05,"Lagoa Cavalcanti, Savassi, 46594-913 Ribeiro do Norte / PE",Minas Gerais
Marcela Cunha,904.312.587-32,45,1978-06-17,"Rua Sales, 4, Universo, 73420661 Rodrigues das Pedras / SE",Pernambuco
Bryan Souza,593.410.876-00,66,1958-03-05,"Viaduto Thales Costela, 23, Mala E Cuia, 14364-941 Farias / BA",Maranhão
Kevin Cavalcanti,658.107.349-01,48,1976-01-29,"Distrito Maria Moraes, 9, Vila Paris, 34507-199 Cardoso / PR",Sergipe
Sr. João Gabriel Martins,794.682.051-85,74,1949-06-14,"Esplanada de Moura, 95, Boa Viagem, 73036474 Pereira do Oeste / MA",Mato Grosso
Gabriela Da Mata,746.021.835-90,67,1956-06-16,"Viaduto de Peixoto, 16, Inconfidência, 10719-934 da Cruz / CE",Roraima
Srta. Júlia Fernandes,650.429.831-98,48,1975-11-19,"Condomínio Leandro da Mota, 20, Jatobá, 87409412 Cavalcanti da Mata / TO",Distrito Federal
Bárbara Silveira,386.019.472-04,40,1983-12-25,"Trevo Carvalho, Vila Paraíso, 27781889 Vieira de Castro / RN",Rio de Janeiro
Vinicius Jesus,549.723.618-91,89,1934-12-08,"Morro de Duarte, Pindorama, 91232749 Cunha / RS",Minas Gerais
Srta. Alice Pires,536.287.940-56,41,1982-07-08,"Praia Ana Carolina Correia, 11, Santa Sofia, 12204735 Rocha Alegre / RO",Ceará
Lara Ferreira,698.517.304-75,72,1951-10-23,"Rodovia de Fogaça, 96, Lajedo, 51730-878 Cardoso do Galho / RS",Distrito Federal
Felipe Freitas,863.410.759-01,98,1925-04-27,"Rua Duarte, 85, Vila Real 1ª Seção, 03399083 Costa do Sul / AC",Distrito Federal
Maysa Pires,852.607.149-11,68,1955-10-08,"Sítio Mariana Almeida, 86, Carlos Prates, 09579-357 Cavalcanti / PR",Bahia
Letícia Da Mata,308.742.169-31,47,1976-08-04,"Aeroporto da Paz, 54, Vila São Dimas, 26750-505 Costa / PR",Rio de Janeiro
Luigi Cunha,623.457.109-34,92,1932-01-24,"Praia Nascimento, 541, Senhor Dos Passos, 52251-024 Cavalcanti do Campo / PA",Sem endereco
Lucas Gabriel Gomes,120.476.398-40,20,2004-02-23,"Distrito de Cardoso, 24, Flamengo, 42222117 Jesus da Prata / PI",Pernambuco
Emanuelly Costela,152.490.783-97,46,1977-10-21,"Vale de Vieira, 67, Suzana, 02233962 Alves / PA",Roraima
Calebe Nascimento,631.974.802-87,85,1939-02-25,"Trecho Brenda Ferreira, 25, Lagoinha, 22650-581 da Luz / RJ",Bahia
Juan Pires,139.648.572-46,76,1948-03-12,"Avenida de Santos, 89, São Pedro, 54483394 Moraes da Mata / MS",Goiás
Lívia Costa,582.793.041-50,81,1942-10-18,"Loteamento Oliveira, 12, Vila Da Ária, 56184582 Pires / AM",Rio Grande do Norte
Davi Lucas Nunes,679.802.341-03,21,2003-01-07,"Vila Viana, 68, Nova Cintra, 01930898 Porto / AM",Piauí
Dr. Lucca Oliveira,806.759.431-75,89,1934-06-24,"Passarela Jesus, 34, Vila Jardim Montanhes, 90668-539 Azevedo / PB",Rio de Janeiro
Eduardo Monteiro,037.529.468-65,61,1962-11-09,"Viaduto Caldeira, Vila Nova Paraíso, 26625-312 Oliveira do Galho / PE",Ceará
Diogo Moraes,571.463.209-52,47,1977-01-12,"Sítio Aragão, 73, Aguas Claras, 39221-650 Barros / RJ",Maranhão
Felipe Freitas,657.014.938-57,18,2005-12-08,"Área Gabriela Nascimento, Ermelinda, 91481282 Silveira / RR",Goiás
Ryan Peixoto,830.126.594-98,27,1996-08-25,"Estrada Agatha Correia, 79, Xodo-Marize, 53021-431 Azevedo Alegre / TO",Pará
Otávio Pires,526.170.894-01,25,1998-07-16,"Pátio Ribeiro, 33, Vila Oeste, 74852-896 Barros da Mata / MS",Rondônia
Thiago Moreira,023.671.984-03,61,1963-01-11,"Residencial Rebeca da Paz, 43, Santa Inês, 11614338 Lima do Sul / SC",Rio Grande do Sul
Pietro Lopes,428.657.913-19,61,1962-04-24,"Aeroporto Moura, 81, Salgado Filho, 80405-323 Moura do Galho / SP",Paraíba
Gabriela Gomes,317.820.469-50,42,1981-04-13,"Parque Mariane Araújo, 1, Flamengo, 01839098 Aragão / RO",Piauí
João Miguel Viana,183.527.069-77,23,2000-05-27,"Estrada de Carvalho, 309, Funcionários, 12346-410 da Luz / DF",Sem endereco
Sr. Luiz Henrique Nunes,031.879.256-77,76,1948-03-17,"Via da Cunha, 11, Sport Club, 89823119 Costela da Mata / TO",Tocantins
Srta. Ana Sophia Viana,937.802.651-68,29,1995-02-18,"Rodovia Agatha Cavalcanti, 27, Santo Antônio, 57644125 Ribeiro / AP",Pará
Sr. Marcelo Aragão,418.379.602-40,85,1938-04-06,"Praça Raul Pires, Maria Virgínia, 04343-264 Cunha / TO",Piauí
Enzo Gabriel Da Mota,018.326.459-24,30,1993-09-22,"Vila Farias, Braúnas, 89867214 Nogueira do Sul / SE",Minas Gerais
Benjamin Da Rosa,195.728.306-86,99,1924-07-29,"Núcleo Maria Luiza Novaes, 100, Xangri-Lá, 43844226 Moura da Prata / RJ",Paraná
Ana Rezende,316.749.285-64,68,1955-10-15,"Esplanada de da Cruz, 73, Eymard, 71825-419 Nascimento / PE",Rio Grande do Norte
Dr. Thomas Dias,267.984.310-03,45,1979-01-13,"Jardim Ana Carolina da Mota, 6, Vila Petropolis, 53256-274 Moura / AP",Paraíba
Breno Ribeiro,803.946.721-78,38,1985-10-05,"Vereda de Costela, 27, Vila De Sá, 07317531 Freitas / MG",Mato Grosso
Lucas Gabriel Novaes,856.074.129-11,41,1982-09-04,"Trevo Manuela Jesus, 927, Ipe, 96781793 Carvalho / SC",Ceará
Vicente Rodrigues,328.147.905-79,85,1938-12-18,"Chácara Cardoso, 14, Vila Aeroporto, 82122066 Fogaça / RN",Rondônia
João Lucas Vieira,985.724.301-05,38,1985-10-18,"Praça de Oliveira, 35, Conjunto Santa Maria, 00397-858 Barros dos Dourados / RN",Maranhão
Dr. Luiz Henrique Freitas,951.720.438-88,47,1976-11-07,"Residencial Luigi Duarte, 6, Manacas, 80721305 Aragão / SC",Pará
