nome,cpf,idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao,rua,bairro,cep,cidade
Isadora Pinto,529.***.***-34,26,1998-01-02,Mato Grosso,5179.8,Ensino Superior,0,Casado,0,Indústria,"Chácara Emanuella Farias, 29",Lagoa,02676-852,Ferreira das Pedras 
Agatha Cardoso,068.***.***-07,55,1968-05-29,Amazonas,3649.5,Ensino Médio,0,Casado,11,Comércio,"Colônia Nunes, 363",Nova Pampulha,64002-271,Jesus 
Pietra Rocha,457.***.***-29,55,1968-07-21,Amazonas,4405.56,Ensino Médio,2,Casado,35,Educação,"Quadra Lima, 92",Custodinha,82512-058,da Rocha da Mata 
Letícia Ferreira,071.***.***-02,42,1981-07-23,Piauí,4501.08,Ensino Médio,0,Casado,8,Saúde,"Largo Bruno Farias, 27",Santana Do Cafezal,09115-624,Nunes do Galho 
Pedro Miguel Cunha,763.***.***-44,21,2002-07-18,Amazonas,2386.33,Ensino Fundamental,0,Viúvo,3,Educação,"Passarela João Guilherme Costa, 26",São Bento,08177-207,Gonçalves Verde 
Erick Duarte,495.***.***-88,18,2005-06-04,Mato Grosso do Sul,3485.57,Ensino Fundamental,1,Casado,0,Tecnologia,"Sítio Martins, 791",Liberdade,28298-953,Monteiro 
Yasmin Vieira,406.***.***-06,28,1996-01-23,Roraima,3441.77,Ensino Médio,0,Solteiro,3,Saúde,Lagoa de Santos,Conjunto Santa Maria,99655-619,Gomes da Mata 
Raquel Fogaça,148.***.***-08,83,1940-10-17,Goiás,3432.61,Ensino Médio,1,Casado,2,Indústria,"Travessa Vitória Castro, 6",Gameleira,76844-798,Nunes 
Maitê Oliveira,758.***.***-77,34,1989-09-24,Mato Grosso,6764.265822019516,Ensino Superior,1,Solteiro,15,Comércio,"Colônia da Mota, 7",Aguas Claras,50036-602,Fogaça Paulista 
Felipe da Costa,476.***.***-96,65,1958-07-30,Maranhão,7609.68,Ensino Fundamental,3,Casado,28,Indústria,"Viaduto de Gomes, 35",Vila Sesc,88706-700,Fogaça 
Ana Júlia da Mata,356.***.***-06,23,2000-12-04,Rondônia,3468.81,Ensino Fundamental,1,Divorciado,0,Tecnologia,"Favela Azevedo, 56",Vila Nova Dos Milionarios,73260-137,Novaes 
Elisa Cunha,078.***.***-17,78,1945-10-12,Espírito Santo,5986.45,Ensino Médio,1,Solteiro,35,Comércio,"Núcleo Kevin Fogaça, 61",Jardim Alvorada,35573-600,Ferreira 
Esther da Mata,541.***.***-23,22,2001-09-25,Rio Grande do Sul,5093.49,Ensino Médio,2,Solteiro,2,Indústria,"Núcleo Luiz Gustavo Novaes, 549",Cidade Jardim,20170-619,da Cruz 
Alexia Jesus,945.***.***-38,39,1984-06-03,Paraná,3446.2,Ensino Médio,0,Casado,15,Indústria,"Praia Arthur Ribeiro, 6",Monte Azul,76998-863,Almeida 
Maria Fernanda Castro,465.***.***-98,54,1969-06-18,Pará,8094.16,Ensino Médio,4,Solteiro,8,Tecnologia,Viaduto de da Rocha,Belvedere,75072-641,Costela 
Henrique Rodrigues,215.***.***-97,28,1995-07-11,Amazonas,5517.69,Ensino Médio,3,Casado,5,Indústria,"Feira de Freitas, 82",Cônego Pinheiro 1ª Seção,91538-600,Silva de da Paz 
Ana Lívia Porto,859.***.***-49,24,1999-12-22,Bahia,3057.43,Ensino Fundamental,1,Solteiro,6,Indústria,"Esplanada Laís da Conceição, 733",Liberdade,53575-467,Jesus 
Thales das Neves,106.***.***-67,49,1974-04-26,Goiás,4611.62,Ensino Médio,0,Casado,14,Comércio,"Rodovia da Cunha, 87",Vila Formosa,06433-760,Cardoso do Oeste 
Luiz Otávio Costela,637.***.***-71,30,1993-12-11,Rio Grande do Sul,6082.64,Ensino Médio,3,Solteiro,4,Indústria,"Lagoa de Lima, 33",São Vicente,44425-416,Teixeira de Goiás 
Pedro Lucas Cavalcanti,130.***.***-86,47,1977-03-19,Distrito Federal,19730.97,Ensino Superior,2,Casado,28,Tecnologia,"Residencial Igor Barbosa, 9",Novo Das Industrias,57070-206,Novaes de Costela 
Cecília Moraes,064.***.***-00,56,1967-09-12,Amazonas,4895.37,Ensino Médio,0,Casado,0,Tecnologia,"Aeroporto de Porto, 37",Vila Olhos D'água,89035-599,Rocha 
João Pedro Dias,270.***.***-00,22,2002-02-18,Amazonas,4746.11,Ensino Médio,1,Solteiro,3,Educação,"Alameda Rezende, 132",Havaí,54477-412,Castro 
João Felipe Pereira,970.***.***-31,22,2001-08-17,Espírito Santo,9137.8,Ensino Superior,0,Solteiro,0,Indústria,"Via Maria Vitória Silva, 1",Aparecida 7ª Seção,81034-789,Azevedo 
Luiz Gustavo Santos,854.***.***-46,18,2005-12-28,Pernambuco,2788.97,Ensino Médio,1,Casado,0,Comércio,Condomínio de Barbosa,Vila Madre Gertrudes 4ª Seção,60083-956,Alves 
Benjamin da Paz,159.***.***-41,28,1995-09-04,Espírito Santo,6764.265822019516,Ensino Médio,3,Solteiro,3,Educação,Sítio Cauã da Cruz,Dom Silverio,62584-914,Costela do Campo 
Cauê da Mata,172.***.***-23,19,2004-09-22,São Paulo,2936.85,Ensino Médio,3,Casado,1,Indústria,"Largo de Cardoso, 777",Beira Linha,69006-462,das Neves 
Nicole Lima,271.***.***-26,55,1969-03-14,Tocantins,4804.29,Ensino Fundamental,0,Casado,12,Comércio,Morro João Vitor Costela,Camponesa 1ª Seção,65664-940,Sales 
Julia Pinto,761.***.***-68,21,2003-01-07,Roraima,2892.95,Ensino Fundamental,1,Casado,3,Educação,"Recanto Isabella Caldeira, 241",Vila Madre Gertrudes 3ª Seção,19965-788,Fogaça Alegre 
Sra. Isis Novaes,639.***.***-02,59,1964-10-26,Pará,17026.17,Ensino Superior,0,Casado,39,Tecnologia,"Viela de Azevedo, 65",Vila Satélite,37814-578,Ribeiro 
Srta. Natália da Rocha,053.***.***-21,22,2001-11-10,Goiás,5185.59,Ensino Médio,2,Solteiro,3,Comércio,"Feira Ana Laura da Costa, 842",Taquaril,47166-382,Rezende 
Julia Rodrigues,389.***.***-00,57,1967-04-03,Rondônia,4204.97,Ensino Médio,3,Divorciado,21,Educação,"Trecho Maria Cecília Souza, 2",São Jorge 2ª Seção,79028-836,Gomes 
Eduardo Aragão,654.***.***-02,53,1970-09-29,Bahia,8967.94,Ensino Médio,1,Casado,13,Comércio,"Viaduto Freitas, 58",Copacabana,06482-168,Ferreira 
Enzo Gabriel da Mata,809.***.***-57,23,2001-01-25,Pernambuco,8801.98,Ensino Superior,0,Casado,3,Tecnologia,"Recanto de Oliveira, 20",Vila Madre Gertrudes 4ª Seção,71684-218,Lima do Sul 
Emanuelly Mendes,231.***.***-35,88,1935-12-04,Amazonas,2813.73,Ensino Fundamental,2,Solteiro,27,Saúde,"Travessa de Pires, 834",Vila Nossa Senhora Do Rosário,63145-269,Cardoso do Amparo 
Luna da Mota,947.***.***-48,25,1998-08-10,Distrito Federal,4038.33,Ensino Médio,1,Casado,1,Comércio,"Quadra Barbosa, 87",Buraco Quente,58384-045,Moura 
Olivia Moraes,056.***.***-89,88,1936-03-17,Goiás,4843.84,Ensino Superior,0,Solteiro,12,Tecnologia,"Conjunto de Costa, 948",Maravilha,13250-179,Carvalho Grande 
Ana Julia da Costa,480.***.***-76,18,2006-02-14,Acre,7335.02,Ensino Médio,0,Casado,0,Tecnologia,"Praia Gomes, 851",Mangueiras,72370-779,das Neves 
Stella da Rosa,826.***.***-02,24,1999-07-24,Maranhão,5096.93,Ensino Médio,0,Solteiro,0,Educação,"Loteamento Maria Luiza Gomes, 70",Madre Gertrudes,19010-517,Caldeira 
Maria Cecília Nogueira,495.***.***-05,65,1958-06-03,Paraíba,13917.07,Ensino Médio,0,Viúvo,32,Indústria,"Estação Nogueira, 40",Boa Vista,84460-945,Dias Alegre 
Camila Cunha,170.***.***-66,18,2006-03-24,Distrito Federal,6734.71,Pós-graduação,2,Casado,0,Educação,Viela Silveira,Lajedo,72423-966,Porto 
Isabel Cardoso,568.***.***-00,19,2005-01-12,Sergipe,8549.4,Pós-graduação,4,Casado,0,Indústria,"Viela Eloah Moura, 60",Bonfim,99971-159,Moura do Sul 
Mariane Fernandes,826.***.***-92,85,1939-01-04,Santa Catarina,13081.43,Ensino Médio,2,Casado,49,Indústria,"Residencial Pires, 27",Marmiteiros,84975-963,Almeida 
Catarina Santos,026.***.***-25,59,1964-11-07,São Paulo,12474.65,Ensino Superior,0,Casado,16,Educação,"Jardim Ramos, 9",Nova Cintra,82742-993,Farias de Dias 
Laís Aragão,084.***.***-11,34,1989-07-01,Piauí,7565.66,Pós-graduação,2,Solteiro,1,Tecnologia,"Morro de Mendes, 715",Apolonia,24203-413,Araújo 
Dr. Fernando Peixoto,659.***.***-05,37,1986-09-23,Goiás,10279.89,Ensino Médio,0,Casado,10,Tecnologia,"Setor de Carvalho, 20",Granja Werneck,23424-686,Cardoso 
Ana Júlia Cardoso,182.***.***-46,33,1990-12-01,Sergipe,10491.23,Ensino Superior,0,Casado,9,Tecnologia,"Distrito Emilly Melo, 91",Graça,11166-505,Novaes 
Heloísa Peixoto,492.***.***-92,39,1985-02-11,Amapá,6764.265822019516,Ensino Fundamental,0,Casado,21,Indústria,"Trecho de Melo, 58",Vila Santa Rosa,66856-625,Alves 
Letícia Novaes,217.***.***-17,59,1964-08-01,Alagoas,6764.265822019516,Não informado,2,Não informado,6,Não informado,"Lago de Moura, 518",Vila Independencia 2ª Seção,02983-688,da Paz 
Vinicius Costa,289.***.***-46,61,1962-12-11,Minas Gerais,4189.37,Ensino Médio,0,Solteiro,7,Educação,"Travessa Araújo, 51",Nova Esperança,03884-065,Campos do Campo 
Breno Alves,208.***.***-03,30,1994-03-05,Amazonas,4253.02,Ensino Superior,0,Casado,6,Comércio,Estrada de Novaes,Acaba Mundo,88025-764,Farias Verde 
Mariane das Neves,079.***.***-93,19,2005-03-13,São Paulo,3472.01,Ensino Médio,4,Casado,0,Saúde,Morro Enzo Gabriel Gonçalves,Marieta 1ª Seção,05678-927,Barbosa do Oeste 
Valentina Oliveira,827.***.***-02,27,1996-07-26,São Paulo,5043.59,Ensino Médio,5,Solteiro,5,Tecnologia,"Feira de Campos, 44",Sion,38651-328,Peixoto 
Henrique Peixoto,089.***.***-03,18,2005-11-29,Minas Gerais,3367.36,Não informado,0,Não informado,0,Não informado,"Área Vitor Gabriel Carvalho, 4",Itatiaia,13882-676,Peixoto da Mata 
Breno Moraes,032.***.***-79,53,1971-02-14,Pernambuco,16878.91,Pós-graduação,2,Casado,14,Educação,"Vila Eduarda Carvalho, 444",Vila Petropolis,21732-848,Melo de Ramos 
Dr. Lucas Gabriel Carvalho,638.***.***-55,45,1978-12-24,Roraima,9106.5,Ensino Médio,0,Solteiro,21,Saúde,"Favela de Carvalho, 45",São Francisco,69956-507,Mendes 
Maria Ferreira,524.***.***-08,40,1983-12-17,Distrito Federal,6051.48,Ensino Fundamental,3,Solteiro,22,Tecnologia,"Favela de Martins, 433",Beija Flor,85455-559,das Neves 
Gabriel Viana,740.***.***-04,43,1981-04-06,Rondônia,6732.19,Ensino Médio,0,Casado,12,Comércio,Lago Calebe Freitas,Santa Inês,56225-290,Cardoso 
Elisa Mendes,472.***.***-25,27,1996-10-17,Minas Gerais,2975.55,Ensino Médio,0,Divorciado,3,Indústria,"Morro Juliana Porto, 20",Nova Cachoeirinha,80855-004,Farias 
Dra. Laura Fernandes,723.***.***-68,45,1978-08-02,Paraíba,11210.57,Ensino Superior,1,Solteiro,25,Comércio,"Via Oliveira, 508",Santa Cruz,91678-973,da Rosa dos Dourados 
Isabelly Novaes,925.***.***-58,22,2001-12-10,Mato Grosso,4559.16,Ensino Superior,0,Casado,2,Educação,"Vereda Araújo, 33",Embaúbas,15168-391,Azevedo 
Lorenzo da Luz,147.***.***-16,39,1984-05-22,Amapá,4054.92,Ensino Fundamental,0,Solteiro,5,Comércio,Via Freitas,Vila São Paulo,87173-593,Costela 
Maria Julia Moura,859.***.***-68,55,1969-01-28,Tocantins,12509.8,Pós-graduação,1,Casado,19,Saúde,"Campo Emilly Melo, 10",Olaria,69886-683,Jesus Verde 
João Lucas Jesus,143.***.***-14,59,1964-08-12,Acre,3654.98,Ensino Fundamental,1,Divorciado,12,Comércio,Via Peixoto,Penha,80521-244,Carvalho 
Olivia Aragão,763.***.***-95,49,1975-01-10,Rio de Janeiro,8611.1,Ensino Superior,0,Casado,13,Saúde,"Conjunto de Martins, 80",Custodinha,43429-714,Silva do Sul 
Maysa Pires,032.***.***-10,63,1960-11-07,Rio Grande do Sul,6666.87,Ensino Médio,2,Casado,43,Comércio,"Fazenda Pereira, 22",Nossa Senhora Do Rosário,23732-278,Gomes Verde 
Maria Clara Ferreira,536.***.***-20,19,2005-02-04,Pernambuco,1593.65,Ensino Fundamental,1,Solteiro,0,Educação,Área Jesus,Marajó,19758-074,Costa de da Rocha 
Lucas Fogaça,048.***.***-80,44,1979-06-20,Ceará,7107.12,Não informado,0,Não informado,6,Não informado,"Ladeira de Melo, 35",São Marcos,54226-264,Viana 
Srta. Maria Alice Pereira,530.***.***-41,20,2003-10-12,Rio Grande do Sul,5069.23,Ensino Médio,0,Solteiro,1,Saúde,"Loteamento de da Rocha, 24",São Francisco,74588-541,Peixoto 
Sra. Olivia Pires,638.***.***-80,56,1967-10-25,Pernambuco,11820.72,Ensino Superior,1,Divorciado,24,Saúde,"Aeroporto Ribeiro, 8",Virgínia,84651-537,Nogueira 
Igor da Costa,309.***.***-06,53,1971-02-25,Pernambuco,14303.7,Ensino Superior,2,Viúvo,6,Tecnologia,"Passarela de Moura, 41",Nova Esperança,69314-625,Oliveira 
Sra. Lorena da Rocha,968.***.***-11,61,1963-04-05,Rondônia,4946.28,Ensino Médio,0,Solteiro,8,Comércio,"Estrada de Pereira, 41",Concórdia,45770-486,Santos Alegre 
Brenda Monteiro,365.***.***-84,54,1969-09-30,Roraima,5003.55,Ensino Médio,1,Divorciado,28,Educação,"Colônia Lucca Campos, 67",Boa Esperança,42778-114,Duarte das Flores 
Pedro Cavalcanti,703.***.***-02,85,1938-12-02,Paraná,2173.77,Ensino Médio,1,Divorciado,3,Saúde,"Passarela de Aragão, 23",Antonio Ribeiro De Abreu 1ª Seção,89928-141,Teixeira 
Lívia Moreira,054.***.***-26,43,1980-10-04,Rondônia,5648.23,Ensino Médio,3,Casado,5,Saúde,"Vereda Almeida, 8",Cdi Jatoba,20676-309,Carvalho 
Luiz Henrique Castro,024.***.***-60,18,2006-01-05,Espírito Santo,6662.12,Ensino Superior,0,Solteiro,0,Educação,"Núcleo Ramos, 28",Vila Da Ária,36026-797,Silva 
Anthony Ribeiro,507.***.***-30,52,1971-06-22,Mato Grosso do Sul,7833.93,Ensino Médio,1,Casado,28,Indústria,"Chácara Pinto, 1",Centro,42640-258,Pires 
Calebe Duarte,741.***.***-30,79,1944-09-24,Santa Catarina,2999.89,Ensino Fundamental,0,Casado,28,Indústria,"Residencial Emanuelly Cavalcanti, 34",Barro Preto,07085-949,Peixoto 
Ana Julia Jesus,795.***.***-99,42,1981-05-14,Bahia,7863.54,Ensino Superior,4,Casado,0,Tecnologia,"Praça Silveira, 443",São Benedito,94163-679,Vieira 
Julia Porto,780.***.***-96,31,1992-11-29,Espírito Santo,2540.53,Ensino Fundamental,0,Divorciado,11,Indústria,Loteamento de Barbosa,Juliana,00195-795,Almeida do Norte 
Augusto Mendes,206.***.***-61,29,1994-09-28,Pernambuco,7379.92,Não informado,3,Não informado,0,Não informado,"Rodovia Santos, 384",Vila Rica,16371-103,Vieira 
Thomas Melo,847.***.***-80,33,1991-03-28,Maranhão,6179.44,Ensino Médio,1,Casado,12,Saúde,"Núcleo Eduardo Ferreira, 54",Vila Nova Gameleira 3ª Seção,46094-494,Santos de Ribeiro 
Nina Rezende,415.***.***-70,64,1959-08-09,Mato Grosso,7677.11,Ensino Fundamental,0,Solteiro,34,Indústria,"Avenida Vieira, 60",Cidade Jardim Taquaril,71484-748,Porto de Melo 
Emilly da Costa,164.***.***-01,22,2002-01-11,Bahia,5261.29,Ensino Médio,2,Casado,2,Educação,"Residencial de Lopes, 93",Lorena,28409-020,da Rocha 
Pedro Cardoso,643.***.***-09,63,1961-02-12,Goiás,4388.63,Ensino Fundamental,0,Solteiro,12,Tecnologia,"Estrada Fernandes, 67",Conjunto Providencia,56170-069,Dias da Serra 
Sr. Lucas Gabriel Teixeira,967.***.***-40,25,1998-09-24,Rio Grande do Sul,7653.98,Ensino Médio,1,Casado,5,Saúde,"Setor Rezende, 90",Pirineus,95314-409,da Conceição 
Lucas Pinto,296.***.***-12,54,1969-06-29,Acre,3615.51,Ensino Médio,0,Solteiro,1,Tecnologia,"Travessa da Paz, 5",Horto Florestal,30808-318,Ribeiro 
Emanuella Moreira,720.***.***-03,27,1996-05-04,Rio Grande do Norte,6736.01,Ensino Médio,3,Casado,2,Indústria,"Jardim Castro, 24",Havaí,68750-233,Castro 
Valentina Santos,304.***.***-03,48,1975-12-09,Ceará,8778.35,Ensino Médio,0,Casado,20,Comércio,"Rua de Vieira, 53",Aarão Reis,85654-665,Caldeira 
Igor Campos,310.***.***-20,29,1994-09-23,Bahia,5750.17,Ensino Superior,0,Solteiro,9,Comércio,Chácara de Rezende,Flamengo,47627-951,Fogaça 
Srta. Isabella Porto,401.***.***-71,77,1946-05-13,Tocantins,12245.98,Ensino Médio,0,Solteiro,55,Saúde,"Vereda João Miguel Cardoso, 332",São Geraldo,87252-650,Moreira Verde 
Maria Sophia Mendes,078.***.***-62,25,1998-07-26,Sergipe,6764.265822019516,Ensino Médio,2,Divorciado,7,Comércio,"Chácara Bruna da Cunha, 1",Jatobá,25521-682,Moura 
Bryan Sales,276.***.***-94,47,1976-06-15,Rondônia,7152.08,Ensino Médio,1,Casado,7,Indústria,"Vale Gabriela Azevedo, 71",Leonina,19193-439,da Mata 
Luiz Gustavo da Cunha,753.***.***-82,47,1977-02-26,Rio Grande do Norte,5305.75,Ensino Superior,1,Casado,14,Indústria,"Chácara Souza, 74",Jaqueline,22929-835,Gonçalves de Nascimento 
Sr. Bryan Castro,701.***.***-95,43,1980-06-10,Distrito Federal,4721.31,Ensino Médio,1,Casado,16,Educação,"Viela Calebe da Rosa, 90",Vila São Geraldo,95229-719,Souza 
Leonardo Azevedo,635.***.***-82,31,1993-02-07,Acre,6056.4,Ensino Médio,0,Casado,12,Comércio,"Residencial de Carvalho, 79",Vera Cruz,71516-888,Moraes 
Emanuel Carvalho,456.***.***-71,18,2005-07-26,Amazonas,2386.9,Ensino Fundamental,1,Casado,0,Educação,"Conjunto Silva, 25",Sagrada Família,33578-420,Alves do Oeste 
Isaac Nascimento,682.***.***-24,31,1992-10-19,Tocantins,6764.265822019516,Ensino Médio,3,Casado,8,Educação,"Pátio Francisco Pinto, 84",Carmo,81323-994,Carvalho 
Felipe Monteiro,732.***.***-55,20,2003-11-09,Santa Catarina,1700.15,Ensino Fundamental,2,Casado,1,Comércio,"Condomínio Maria Alice Freitas, 1",Vila Petropolis,99296-481,Rocha 
André Oliveira,183.***.***-01,36,1987-09-27,Paraná,3861.92,Ensino Fundamental,0,Casado,1,Comércio,Lago Cardoso,Venda Nova,53865-561,Campos do Sul 
Helena Costela,038.***.***-60,47,1976-10-24,Amazonas,6081.45,Ensino Médio,0,Casado,15,Saúde,"Condomínio de Silveira, 81",Vila São Geraldo,93045-899,Pinto 
Maria Luiza Costela,045.***.***-00,30,1993-09-26,Amapá,5101.38,Ensino Superior,0,Casado,8,Saúde,Estação Lucas Gabriel Costa,Vila Madre Gertrudes 3ª Seção,45784-262,da Conceição da Praia 
Alexandre Vieira,471.***.***-20,29,1994-12-18,Ceará,2443.38,Ensino Médio,0,Casado,0,Comércio,"Pátio Lucas Gabriel da Rosa, 41",Anchieta,52303-098,Cavalcanti de Goiás 
Srta. Rebeca da Rocha,835.***.***-73,48,1976-03-23,Sergipe,10761.24,Ensino Superior,1,Casado,12,Comércio,"Favela Isadora da Luz, 5",Anchieta,62114-525,Novaes 
Bárbara das Neves,763.***.***-53,46,1978-01-02,Pernambuco,10789.48,Ensino Médio,1,Casado,21,Saúde,"Praia Melo, 72",Fernão Dias,02283-596,da Costa 
Dr. Renan das Neves,980.***.***-67,44,1979-12-29,Rondônia,6303.77,Ensino Médio,2,Casado,3,Indústria,"Colônia Renan Melo, 83",Vila Rica,56965-878,Gonçalves de Araújo 
Gustavo Henrique Gomes,590.***.***-05,56,1967-05-13,Amazonas,13937.67,Ensino Médio,0,Casado,30,Tecnologia,Viela de da Cunha,São Salvador,86083-815,Moreira de Caldeira 
Ana da Rosa,920.***.***-67,36,1987-05-13,Pernambuco,6764.265822019516,Ensino Médio,1,Solteiro,1,Tecnologia,"Núcleo de Pereira, 8",Nazare,81817-941,da Cruz 
Laís da Mota,913.***.***-87,34,1989-05-01,Tocantins,11127.47,Ensino Superior,2,Casado,6,Saúde,"Residencial Nicolas Fogaça, 30",Vila Maria,62618-541,Pinto 
Dra. Emanuella Nogueira,845.***.***-00,46,1977-12-24,Distrito Federal,12216.39,Ensino Superior,3,Casado,22,Saúde,"Núcleo Sophie Alves, 79",Gameleira,86282-975,Pereira do Galho 
